00:00:45	00:01:01	SD: I wonder if we could have your attention. The subject of tonight’s symposium is “Poetry of the Thirties and Forties”. The poetry that really laid the foundation, in fact started modern poetry, and laid the foundation for the contemporary.	Djwa
00:00:59		SD: We’re fortunate tonight in having here with us some of the major poets from this period. Dorothy Livesay, who began writing in Ontario in the late 20s, Anne Marriott, whose major poem was written in B.C. In 1939, “The Wind Our Enemy,” and Irving Layton who began to write in Montreal in the early 40s. We’re happy to have Anne here substituting for P. K. Page, who wasn’t able to come. And we very much regret that F. R. Scott has been ill, and is not able to be with us.	Djwa
98.0		SD: Our format this evening will consist of a brief introduction to each of the three poets, followed by an overview of their particular period by each of the poets. We will then move onto a general discussion with the panel, and after that we will throw the meeting open for questions.	Djwa
121.0		SD: Now, I’d like to begin, perhaps, by invoking F. R. Scott in spirit, since he can’t be here in person. Because it was Scott’s satirical verse, “The Canadian Authors Meet,” written in 1927, which really sketches out the kind of poetry that most of our three panelists were reacting against. This was the poem entitled “The Canadian Authors Meet” and it was written at the Ritz Carleton Hotel one night in 1927 while Scott, sitting at the back of the room, watched A. J. M. Smith go up to the front of the room to get two prizes for two sonnets, which he had submitted pseudonymously. The poem that Scott wrote is this:	Djwa
165.0		SD recites poem “The Canadian Authors Meet” by F. R. Scott	Djwa
224.0		SD: Well, Scott was parodying the kind of poetry that he didn’t care for. Dorothy Livesay who is going to begin tonight’s symposium will be telling us something about the Miss Crotchets, the lady poets of the 20s, who preceded her. More importantly, she will be telling us about another strain of poetry - an important imagist line that began with Raymond Knister that carried on through W. W. E Ross, and also she will be talking about, briefly, the poetry of Louise Morey Bowman.	Djwa
270.203878		SD: Dorothy knows the world of the woman artist firsthand, because her mother, Florence Randal Livesay was a well-known poet of the 20s. Her father, J. F. B. Livesay was for some time a head of Canadian Press. Dorothy’s first book of poetry, Green Pitcher was published in 1928. It differs from the earlier verse—much of the earlier verse of the 20s—in that you will find here an original voice which draws on the new imagist movement for its form.	Djwa
304.267376		Early in the 30s she became committed to the left. Her poetry, which had earlier concentrated on nature, now turned to human nature. And particularly the social struggle and its place in a reconstructed society. She was associated with the short-lived little magazine Masses, which ran from 1932 to ’34, and with the left-wing New Frontier of 1937. It was her poem, “Day and Night,” a description of the toiling factory worker, which for many Canadians epitomized what was wrong with the industrial system.	Djwa
344.371386		SD recites excerpt from “Day and Night” by Dorothy Livesay	Djwa
351.096903		The whole fascinating story of these years is to be found in her recently published book, Right Hand Left Hand, a montage of letters, documents, and clippings from the period. In 1941, Dorothy was one of the founders of Contemporary Verse, that British Columbia little magazine which was one of the first to decentralize Canadian poetry. Her collected poems, The Two Seasons, was published in 1972. She received two Governor General’s awards: one for Day and Night in 1944 (the book this time, not the poem); and in 1947 for her Poems for People. She received the Queen’s Jubilee medal in 1977.	Djwa
397.615063		Through her candor and her explicit statement of the woman’s position, Dorothy Livesay has had a considerable influence on younger woman poets in the 60s and 70s. Tonight she will be describing the literary climate of the 20s and some of the more exciting events of the 30s. Dorothy Livesay.	Djwa
1017.701514		SD: I think that when we get through hearing each of the panelists in turn it might be a good idea to go back to you, Dorothy, and to ask you more about the ‘30s and especially the Spanish Civil War and the way in which it had an influence here in Canada. 	Djwa
1034.608717		SD: To introduce our second panelist, Anne Marriott: Anne comes to poetry with a somewhat different perspective than either Dorothy or Irving in that she didn’t hold a particular ideological position during what was really a highly political decade—the ‘30s.	Djwa
